知识点名字,描述,是否可用（1:可用；0:不可用）,父知识点名字
运动的描述,高一物理，人教版必修一,1,
质点、参考系和坐标系,高一物理，人教版必修一,1,运动的描述
时间和位移,高一物理，人教版必修一,1,运动的描述
运动快慢的描述--速度,高一物理，人教版必修一,1,运动的描述
实验：用打点计时器测速度,高一物理，人教版必修一,1,运动的描述
速度变化快慢的描述--加速度,高一物理，人教版必修一,1,运动的描述
匀变速直线运动的研究,高一物理，人教版必修一,1,
伽利略对自由落体运动的研究,高一物理，人教版必修一,1,匀变速直线运动的研究
自由落体运动,高一物理，人教版必修一,1,匀变速直线运动的研究
匀变速直线运动的速度与位移的关系,高一物理，人教版必修一,1,匀变速直线运动的研究
匀变速直线运动的位移与时间的关系,高一物理，人教版必修一,1,匀变速直线运动的研究
实验：探究小车速度随时间变化的规律,高一物理，人教版必修一,1,匀变速直线运动的研究
匀变速直线运动的速度与时间的关系,高一物理，人教版必修一,1,匀变速直线运动的研究
相互作用,高一物理，人教版必修一,1,
重力　基本相互作用,高一物理，人教版必修一,1,相互作用
摩擦力,高一物理，人教版必修一,1,相互作用
弹力,高一物理，人教版必修一,1,相互作用
力的合成,高一物理，人教版必修一,1,相互作用
力的分解,高一物理，人教版必修一,1,相互作用
牛顿运动定律,高一物理，人教版必修一,1,
牛顿第一定律,高一物理，人教版必修一,1,牛顿运动定律
实验：探究加速度与力、质量的关系,高一物理，人教版必修一,1,牛顿运动定律
牛顿第二定律,高一物理，人教版必修一,1,牛顿运动定律
力学单位制,高一物理，人教版必修一,1,牛顿运动定律
牛顿第三定律,高一物理，人教版必修一,1,牛顿运动定律
用牛顿运动定律解决问题（一）,高一物理，人教版必修一,1,牛顿运动定律
用牛顿运动定律解决问题（二）,高一物理，人教版必修一,1,牛顿运动定律
曲线运动,高一物理，人教版必修二,1,
平抛运动,高一物理，人教版必修二,1,曲线运动
圆周运动,高一物理，人教版必修二,1,曲线运动
向心加速度,高一物理，人教版必修二,1,曲线运动
向心力,高一物理，人教版必修二,1,曲线运动
生活中的圆周运动,高一物理，人教版必修二,1,曲线运动
实验：研究平抛运动,高一物理，人教版必修二,1,曲线运动
万有引力与航天,高一物理，人教版必修二,1,
行星的运动,高一物理，人教版必修二,1,万有引力与航天
太阳与行星间的引力,高一物理，人教版必修二,1,万有引力与航天
万有引力定律,高一物理，人教版必修二,1,万有引力与航天
万有引力理论的成就,高一物理，人教版必修二,1,万有引力与航天
宇宙航行,高一物理，人教版必修二,1,万有引力与航天
经典力学的局限性,高一物理，人教版必修二,1,万有引力与航天
机械能守恒定律,高一物理，人教版必修二,1,
功,高一物理，人教版必修二,1,机械能守恒定律
功率,高一物理，人教版必修二,1,机械能守恒定律
重力势能,高一物理，人教版必修二,1,机械能守恒定律
探究弹性势能的表达式,高一物理，人教版必修二,1,机械能守恒定律
实验：探究功与速度变化的关系,高一物理，人教版必修二,1,机械能守恒定律
动能和动能定理,高一物理，人教版必修二,1,机械能守恒定律
机械能守恒定律,高一物理，人教版必修二,1,机械能守恒定律
实验：验证机械能守恒定律,高一物理，人教版必修二,1,机械能守恒定律
能量守恒定律与能源,高一物理，人教版必修二,1,机械能守恒定律
追寻守恒量——能量,高一物理，人教版必修二,1,机械能守恒定律
质点的定义,高一物理，人教版必修一,1,
质点高考典型题型,高一物理，人教版必修一,1,
参考系的定义,高一物理，人教版必修一,1,
时间和时刻定义及理解,高一物理，人教版必修一,1,
时间和时刻高考典型题型,高一物理，人教版必修一,1,
位移的定义,高一物理，人教版必修一,1,
位移与路程概念理解高考典型题型,高一物理，人教版必修一,1,
速度定义,高一物理，人教版必修一,1,
速度与速率辨析,高一物理，人教版必修一,1,
平均速度与平均速率的定义及辨析,高一物理，人教版必修一,1,
加速度的定义及理解,高一物理，人教版必修一,1,
速度与加速度的关系辨析,高一物理，人教版必修一,1,
加速度的矢量计算高考典型题型,高一物理，人教版必修一,1,
匀变速直线运动定义及理解,高一物理，人教版必修一,1,
匀变速直线运动速度时间关系,高一物理，人教版必修一,1,
匀变速直线运动位移时间关系,高一物理，人教版必修一,1,
匀变速直线运动位移与平均速度关系,高一物理，人教版必修一,1,
匀变速直线运动速度位移关系,高一物理，人教版必修一,1,
匀变速直线运动平均速度与中间时刻速度关系,高一物理，人教版必修一,1,
匀变速直线运动中间位置的速度,高一物理，人教版必修一,1,
速度—时间图像(v-t 图像)及位移—时间(x-t)图像,高一物理，人教版必修一,1,
匀变速直线运动位移时间关系高考典型题型,高一物理，人教版必修一,1,
匀变速直线运动高考典型问题——刹车问题,高一物理，人教版必修一,1,
匀变速直线运动高考典型问题——追击相遇问题,高一物理，人教版必修一,1,
测定匀变速直线运动的加速度实验操作步骤,高一物理，人教版必修一,1,
测定匀变速直线运动的加速度实验——计算某点的瞬时速度,高一物理，人教版必修一,1,
测定匀变速直线运动的加速度实验——逐差法计算加速度,高一物理，人教版必修一,1,
测定匀变速直线运动的加速度实验误差分析,高一物理，人教版必修二,1,
自由落体运动定义,高一物理，人教版必修二,1,
自由落体运动速度时间关系,高一物理，人教版必修二,1,
自由落体运动位移,高一物理，人教版必修二,1,
初速度为零的匀加速直线运动的特殊规律,高一物理，人教版必修二,1,
力定义及理解,高一物理，人教版必修二,1,
力的分类典型题型,高一物理，人教版必修二,1,
重力的定义及理解,高一物理，人教版必修二,1,
重力的大小,高一物理，人教版必修二,1,
重力的方向,高一物理，人教版必修二,1,
重力的作用点——重心,高一物理，人教版必修二,1,
弹力的定义及产生原因,高一物理，人教版必修二,1,
弹力产生原因理解的高考典型题型,高一物理，人教版必修二,1,
弹力的方向,高一物理，人教版必修二,1,
弹力有无的判断,高一物理，人教版必修二,1,
探究弹簧弹力大小与形变量关系的实验,高一物理，人教版必修二,1,
弹力的大小及胡克定律,高一物理，人教版必修二,1,
摩擦力的定义及产生原因,高一物理，人教版必修一,1,
摩擦力的大小,高一物理，人教版必修一,1,
摩擦力有无及方向的判断,高一物理，人教版必修一,1,
分力与合力是等效替代的关系,高一物理，人教版必修一,1,
实验探究平行四边形定则,高一物理，人教版必修一,1,
用平行四边形定则计算合力以及合力的大小范围,高一物理，人教版必修一,1,
力的分解典型类型一:将一个力按作用效果分解,高一物理，人教版必修一,1,
力的分解典型类型二:将一个力正交分解,高一物理，人教版必修一,1,
力的分解典型类型三:一个已知力分解时解的情况的讨论,高一物理，人教版必修一,1,
平衡状态,高一物理，人教版必修一,1,
平衡条件应用高考典型题型,高一物理，人教版必修一,1,
牛顿第一定律的理解高考典型题型,高一物理，人教版必修一,1,
“探究加速度与力、质量的关系”实验原理及操作步骤,高一物理，人教版必修一,1,
“探究加速度与力、质量的关系”实验数据处理及误差分析,高一物理，人教版必修一,1,
牛顿第二定律理解的高考典型题型,高一物理，人教版必修一,1,
牛顿第二定律高考典型题型一:力与运动关系的定性分析,高一物理，人教版必修一,1,
牛顿第二定律高考典型题型二:瞬时问题,高一物理，人教版必修一,1,
牛顿第二定律高考典型题型三:正交分解法,高一物理，人教版必修一,1,
牛顿第三定律理解高考典型题型,高一物理，人教版必修一,1,
超重失重的产生及理解,高一物理，人教版必修一,1,
"牛顿运动定律应用典型题型一:已知物体的受力情况,求解物体的运动情况",高一物理，人教版必修一,1,
"牛顿运动定律应用典型题型二:已知物体的运动情况,确定物体的受力情况",高一物理，人教版必修一,1,
牛顿运动定律应用典型题型三:用整体法和隔离法处理连接体问题,高一物理，人教版必修一,1,
